frequency	network	contrasts	t	p
Delta	left_dorsal attention	c1	-1.591300	0.942000
Delta	left_control	c1	0.403500	0.338000
Delta	left_default	c1	0.632500	0.288000
Delta	left_visual	c1	-1.407900	0.936000
Delta	left_limbic	c1	0.121400	0.468000
Delta	left_somatomotor	c1	1.040400	0.162000
Delta	left_ventral attention	c1	0.723100	0.240000
Delta	right_dorsal attention	c1	2.368000	0.014800
Delta	right_control	c1	1.666300	0.046200
Delta	right_default	c1	1.467700	0.083100
Delta	right_visual	c1	0.100200	0.434000
Delta	right_limbic	c1	-0.532000	0.712000
Delta	right_somatomotor	c1	1.724600	0.028700
Delta	right_ventral attention	c1	3.045000	0.001900
Theta	left_dorsal attention	c1	-0.625400	0.718000
Theta	left_control	c1	0.522200	0.302000
Theta	left_default	c1	1.035800	0.164000
Theta	left_visual	c1	0.612900	0.276000
Theta	left_limbic	c1	-0.751600	0.780000
Theta	left_somatomotor	c1	-0.438100	0.662000
Theta	left_ventral attention	c1	0.488200	0.338000
Theta	right_dorsal attention	c1	0.266400	0.380000
Theta	right_control	c1	1.140100	0.144000
Theta	right_default	c1	2.069600	0.027400
Theta	right_visual	c1	1.089100	0.164000
Theta	right_limbic	c1	0.737700	0.256000
Theta	right_somatomotor	c1	0.224600	0.418000
Theta	right_ventral attention	c1	1.031100	0.148000
Alpha	left_dorsal attention	c1	0.223500	0.402000
Alpha	left_control	c1	0.868700	0.204000
Alpha	left_default	c1	1.970600	0.032500
Alpha	left_visual	c1	-0.670600	0.742000
Alpha	left_limbic	c1	0.263800	0.420000
Alpha	left_somatomotor	c1	0.037800	0.472000
Alpha	left_ventral attention	c1	0.279300	0.434000
Alpha	right_dorsal attention	c1	-0.839600	0.830000
Alpha	right_control	c1	1.186000	0.120000
Alpha	right_default	c1	1.456900	0.057900
Alpha	right_visual	c1	0.126700	0.436000
Alpha	right_limbic	c1	-0.254400	0.644000
Alpha	right_somatomotor	c1	-0.777800	0.808000
Alpha	right_ventral attention	c1	0.639200	0.292000
Beta1	left_dorsal attention	c1	-0.494700	0.660000
Beta1	left_control	c1	-0.648800	0.746000
Beta1	left_default	c1	-1.065300	0.840000
Beta1	left_visual	c1	1.023800	0.142000
Beta1	left_limbic	c1	-1.282500	0.906000
Beta1	left_somatomotor	c1	-1.034600	0.844000
Beta1	left_ventral attention	c1	-1.255400	0.888000
Beta1	right_dorsal attention	c1	0.077200	0.492000
Beta1	right_control	c1	-0.343300	0.596000
Beta1	right_default	c1	-0.305100	0.602000
Beta1	right_visual	c1	-0.349300	0.676000
Beta1	right_limbic	c1	-0.887800	0.842000
Beta1	right_somatomotor	c1	-1.258300	0.912000
Beta1	right_ventral attention	c1	-0.488300	0.712000
Beta2	left_dorsal attention	c1	-0.627900	0.736000
Beta2	left_control	c1	0.917400	0.198000
Beta2	left_default	c1	-0.340300	0.610000
Beta2	left_visual	c1	0.021000	0.480000
Beta2	left_limbic	c1	0.408400	0.348000
Beta2	left_somatomotor	c1	-0.284200	0.628000
Beta2	left_ventral attention	c1	-0.210500	0.590000
Beta2	right_dorsal attention	c1	-0.993500	0.840000
Beta2	right_control	c1	-0.930700	0.878000
Beta2	right_default	c1	-0.344400	0.620000
Beta2	right_visual	c1	-0.208200	0.584000
Beta2	right_limbic	c1	0.527400	0.304000
Beta2	right_somatomotor	c1	-1.181700	0.874000
Beta2	right_ventral attention	c1	-1.288800	0.896000
Gamma	left_dorsal attention	c1	1.098000	0.144000
Gamma	left_control	c1	1.160100	0.108000
Gamma	left_default	c1	0.351800	0.360000
Gamma	left_visual	c1	0.011300	0.470000
Gamma	left_limbic	c1	1.243700	0.112000
Gamma	left_somatomotor	c1	0.216900	0.398000
Gamma	left_ventral attention	c1	0.377600	0.378000
Gamma	right_dorsal attention	c1	0.048000	0.440000
Gamma	right_control	c1	0.399000	0.366000
Gamma	right_default	c1	0.631100	0.268000
Gamma	right_visual	c1	-0.529100	0.696000
Gamma	right_limbic	c1	0.737800	0.198000
Gamma	right_somatomotor	c1	-0.314800	0.646000
Gamma	right_ventral attention	c1	-0.233600	0.600000
