-29,841,0,32456
-35,1225,0,-71046
-29,841,1,-40673
-25,625,1,-39984
-25,625,1,-172654
-30,900,0,128927
-30,900,0,175464
-31,961,1,50641
-28,784,1,-372741
-35,1225,1,-112221
-28,784,1,-115967
-25,625,1,150056
-28,784,0,316186
-33,1089,0,223357
-24,576,0,115773
-27,729,0,241005
-25,625,0,265008
-34,1156,0,147384
-28,784,1,-94692
-28,784,0,-48886
-25,625,0,205212
-27,729,0,336900
-26,676,1,-141888
-25,625,0,253888
-30,900,1,-51198
-26,676,0,-44033
-25,625,0,-9796
-26,676,1,-57132
-32,1024,1,-118495
-35,1225,1,-276741
-35,1225,0,84944
-35,1225,1,-180706
-28,784,1,64995
-34,1156,0,82496
-27,729,1,70365
-30,900,1,68462
-26,676,0,433109
-35,1225,0,188531
-27,729,0,102979
-25,625,1,135742
-27,729,1,45353
-28,784,1,-267676
-26,676,0,-35006
-27,729,1,-31030
-27,729,1,34562
-27,729,1,-75049
-33,1089,0,462152
-28,784,1,72772
-26,676,0,56493
-26,676,0,204511
-22,484,0,25232
-18,324,1,-55645
-17,289,1,-133128
-18,324,1,-172834
-23,529,1,-145198
-22,484,1,-193966
-22,484,1,-141743
-24,576,0,228627
-19,361,0,291396
-24,576,1,-172037
-19,361,0,-65209
-16,256,0,74338
-24,576,1,-45551
-19,361,0,-28654
-24,576,1,-138902
-22,484,0,77208
-23,529,0,88076
-16,256,1,62904
-19,361,1,-149064
-20,400,0,91225
-18,324,0,59598
-19,361,1,-121132
-20,400,1,-155524
-19,361,0,78978
-24,576,1,-31302
-16,256,0,93918
-22,484,0,164909
-18,324,1,-111636
-23,529,0,196968
-24,576,1,178324
-21,441,0,86271
-16,256,0,-43414
-21,441,1,-110341
-17,289,1,17778
-18,324,0,425551
-20,400,1,82680
-20,400,1,-81928
-16,256,0,57332
-18,324,1,119453
-19,361,1,45590
-16,256,0,226506
-16,256,0,220634
-16,256,1,59503
-15,225,0,93948
-25,625,1,-39527
-17,289,0,-45774
-22,484,0,292794
-18,324,0,399799
-24,576,1,75623
-17,289,0,125617
-8,64,0,67003
-11,121,1,-129184
-11,121,1,-248640
-6,36,1,-72114
-13,169,0,13902
-11,121,1,86444
-12,144,0,198105
-14,196,1,-126840
-6,36,1,-80222
-6,36,0,157471
-9,81,0,269845
-7,49,0,-8739
-12,144,0,-6107
-12,144,1,-109502
-10,100,0,97625
