0,1,0,2,0,4,0,-60913
0,1,0,2,0,4,0,144035
1,0,4,0,16,0,-127409,0
0,1,0,4,0,16,0,50971
1,0,4,0,16,0,-53585,0
0,1,0,3,0,9,0,98987
0,1,0,2,0,4,0,274828
1,0,-1,0,1,0,-185018,0
0,1,0,5,0,25,0,-253384
1,0,-4,0,16,0,-59715,0
0,1,0,2,0,4,0,22811
0,1,0,4,0,16,0,177947
0,1,0,2,0,4,0,161506
1,0,-1,0,1,0,-188399,0
1,0,2,0,4,0,7650,0
1,0,3,0,9,0,-76348,0
0,1,0,1,0,1,0,318397
1,0,-3,0,9,0,-204135,0
1,0,5,0,25,0,-80898,0
1,0,5,0,25,0,-146735,0
1,0,-2,0,4,0,-50255,0
1,0,1,0,1,0,-90960,0
0,1,0,-5,0,25,0,99090
0,1,0,4,0,16,0,38629
0,1,0,3,0,9,0,144668
0,1,0,-1,0,1,0,164882
0,1,0,1,0,1,0,157583
1,0,1,0,1,0,-107431,0
1,0,-4,0,16,0,-245686,0
0,1,0,-2,0,4,0,20702
0,1,0,-1,0,1,0,213943
1,0,-5,0,25,0,-62522,0
0,1,0,-1,0,1,0,10442
0,1,0,3,0,9,0,57562
0,1,0,3,0,9,0,22448
1,0,0,0,0,0,-109507,0
1,0,3,0,9,0,169381,0
0,1,0,-1,0,1,0,275442
0,1,0,5,0,25,0,-155152
1,0,-1,0,1,0,-128504,0
1,0,-2,0,4,0,-232,0
1,0,-4,0,16,0,-29777,0
1,0,3,0,9,0,31081,0
1,0,-1,0,1,0,74862,0
0,1,0,-2,0,4,0,227050
1,0,0,0,0,0,-127963,0
0,1,0,2,0,4,0,-68372
0,1,0,-1,0,1,0,-115422
1,0,1,0,1,0,3305,0
0,1,0,9,0,81,0,-37523
0,1,0,5,0,25,0,164827
1,0,11,0,121,0,-202285,0
1,0,13,0,169,0,169188,0
0,1,0,13,0,169,0,132367
0,1,0,14,0,196,0,122821
0,1,0,13,0,169,0,115706
