pval,real_rho,realpval,mod
0.8548,0.0162296711812362,0.487655808140024,Delta_power_dpv_tstat_c1
0.8548,-0.0162296711812362,0.487655808140024,Delta_power_dpv_tstat_c2
0.5433,0.113359257134717,1.15600150218942e-06,Delta_power_dpv_tstat_c3
0.5433,-0.113359257134717,1.15600150218942e-06,Delta_power_dpv_tstat_c4
0.1085,0.288574774968767,0,Theta_power_dpv_tstat_c1
0.1085,-0.288574774968767,0,Theta_power_dpv_tstat_c2
0.4411,0.146531052743228,2.97950331074048e-10,Theta_power_dpv_tstat_c3
0.4411,-0.146531052743228,2.97950331074048e-10,Theta_power_dpv_tstat_c4
0.5526,0.121475585460851,1.85079437109437e-07,Alpha_power_dpv_tstat_c1
0.5526,-0.121475585460851,1.85079437109437e-07,Alpha_power_dpv_tstat_c2
0.5475,0.107074809061705,4.39379752092961e-06,Alpha_power_dpv_tstat_c3
0.5475,-0.107074809061705,4.39379752092961e-06,Alpha_power_dpv_tstat_c4
0.9754,0.00465742521598771,0.842139877127999,Beta1_power_dpv_tstat_c1
0.9754,-0.00465742521598771,0.842139877127999,Beta1_power_dpv_tstat_c2
0.7271,0.064822647095615,0.0055236085359206,Beta1_power_dpv_tstat_c3
0.7271,-0.064822647095615,0.0055236085359206,Beta1_power_dpv_tstat_c4
0.9358,-0.0120991733502258,0.604883061907495,Beta2_power_dpv_tstat_c1
0.9358,0.0120991733502258,0.604883061907495,Beta2_power_dpv_tstat_c2
0.3214,0.173651060297014,7.29416527178728e-14,Beta2_power_dpv_tstat_c3
0.3214,-0.173651060297014,7.29416527178728e-14,Beta2_power_dpv_tstat_c4
0.671,0.038004316525502,0.104015936930724,Gamma_power_dpv_tstat_c1
0.671,-0.038004316525502,0.104015936930724,Gamma_power_dpv_tstat_c2
0.3507,0.171277595752979,1.59983137848485e-13,Gamma_power_dpv_tstat_c3
0.3507,-0.171277595752979,1.59983137848485e-13,Gamma_power_dpv_tstat_c4
