pval,real_rho,realpval,mod
0.7193,-0.0530230743431893,0.0232735620171112,Delta_coh_img_dpv_tstat_c1
0.7193,0.0530230743431893,0.0232735620171112,Delta_coh_img_dpv_tstat_c2
0.0279,0.217809230378488,0,Delta_coh_img_dpv_tstat_c3
0.0279,-0.217809230378488,0,Delta_coh_img_dpv_tstat_c4
0.0857,-0.298342913464547,0,Theta_coh_img_dpv_tstat_c1
0.0857,0.298342913464547,0,Theta_coh_img_dpv_tstat_c2
0.7712,-0.0487327628210627,0.0370603320379421,Theta_coh_img_dpv_tstat_c3
0.7712,0.0487327628210627,0.0370603320379421,Theta_coh_img_dpv_tstat_c4
0.0499,0.295499147930295,0,Alpha_coh_img_dpv_tstat_c1
0.0499,-0.295499147930295,0,Alpha_coh_img_dpv_tstat_c2
0.3128,0.108750206145896,3.09967145084578e-06,Alpha_coh_img_dpv_tstat_c3
0.3128,-0.108750206145896,3.09967145084578e-06,Alpha_coh_img_dpv_tstat_c4
0.0242,0.360419456168945,0,Beta1_coh_img_dpv_tstat_c1
0.0242,-0.360419456168945,0,Beta1_coh_img_dpv_tstat_c2
0.118,0.19316327163232,1.11022302462516e-16,Beta1_coh_img_dpv_tstat_c3
0.118,-0.19316327163232,1.11022302462516e-16,Beta1_coh_img_dpv_tstat_c4
0.3863,0.21823176006643,0,Beta2_coh_img_dpv_tstat_c1
0.3863,-0.21823176006643,0,Beta2_coh_img_dpv_tstat_c2
0.4406,-0.144414083512293,5.37133892919428e-10,Beta2_coh_img_dpv_tstat_c3
0.4406,0.144414083512293,5.37133892919428e-10,Beta2_coh_img_dpv_tstat_c4
0.8966,-0.0271025923516021,0.246396718100925,Gamma_coh_img_dpv_tstat_c1
0.8966,0.0271025923516021,0.246396718100925,Gamma_coh_img_dpv_tstat_c2
0.9957,-0.000782644771502767,0.973302460161024,Gamma_coh_img_dpv_tstat_c3
0.9957,0.000782644771502767,0.973302460161024,Gamma_coh_img_dpv_tstat_c4
