pval,real_rho,realpval,mod
0.004,-0.3428396175934,0,Delta_coh_img_dpv_tstat_c1
0.004,0.3428396175934,0,Delta_coh_img_dpv_tstat_c2
0.5614,-0.100387501502353,1.68089494494428e-05,Delta_coh_img_dpv_tstat_c3
0.5614,0.100387501502353,1.68089494494428e-05,Delta_coh_img_dpv_tstat_c4
0.9321,-0.0301539074118921,0.197153652402696,Theta_coh_img_dpv_tstat_c1
0.9321,0.0301539074118921,0.197153652402696,Theta_coh_img_dpv_tstat_c2
0.3508,0.204747781424435,0,Theta_coh_img_dpv_tstat_c3
0.3508,-0.204747781424435,0,Theta_coh_img_dpv_tstat_c4
0.9672,0.012313627101955,0.598497417646621,Alpha_coh_img_dpv_tstat_c1
0.9672,-0.012313627101955,0.598497417646621,Alpha_coh_img_dpv_tstat_c2
0.0947,-0.220455793757296,0,Alpha_coh_img_dpv_tstat_c3
0.0947,0.220455793757296,0,Alpha_coh_img_dpv_tstat_c4
0.9625,-0.0154386405420028,0.509118753631172,Beta1_coh_img_dpv_tstat_c1
0.9625,0.0154386405420028,0.509118753631172,Beta1_coh_img_dpv_tstat_c2
0.1968,0.227098359091909,0,Beta1_coh_img_dpv_tstat_c3
0.1968,-0.227098359091909,0,Beta1_coh_img_dpv_tstat_c4
0.5812,-0.181467382264986,5.10702591327572e-15,Beta2_coh_img_dpv_tstat_c1
0.5812,0.181467382264986,5.10702591327572e-15,Beta2_coh_img_dpv_tstat_c2
0.2528,0.267260217622817,0,Beta2_coh_img_dpv_tstat_c3
0.2528,-0.267260217622817,0,Beta2_coh_img_dpv_tstat_c4
0.8514,0.0505832472453474,0.0304356572360646,Gamma_coh_img_dpv_tstat_c1
0.8514,-0.0505832472453474,0.0304356572360646,Gamma_coh_img_dpv_tstat_c2
0.7812,0.0517216241786518,0.0268874532784462,Gamma_coh_img_dpv_tstat_c3
0.7812,-0.0517216241786518,0.0268874532784462,Gamma_coh_img_dpv_tstat_c4
